Provinsi,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
ACEH,9.33,9.18,9.09,8.98,8.86,8.77,8.71,8.44,8.36,8.32,8.28
SUMATERA UTARA,9.54,9.45,9.34,9.25,9.12,9.03,8.93,8.79,8.72,8.61,8.51
SUMATERA BARAT,8.99,8.92,8.76,8.72,8.59,8.42,8.29,8.28,8.27,8.2,8.13
RIAU,9.14,9.03,8.92,8.76,8.59,8.49,8.47,8.38,8.34,8.29,8.25
JAMBI,8.55,8.45,8.23,8.15,8.07,7.96,7.92,7.8,7.69,7.48,7.34
SUMATERA SELATAN,8.24,8.18,8,7.99,7.83,7.77,7.66,7.53,7.5,7.42,7.34
BENGKULU,8.84,8.73,8.61,8.47,8.37,8.29,8.28,8.09,8.01,7.93,7.85
LAMPUNG,8.05,7.92,7.82,7.79,7.63,7.56,7.48,7.32,7.3,7.28,7.26
KEP. BANGKA BELITUNG,8.06,7.98,7.84,7.78,7.62,7.46,7.35,7.32,7.25,7.19,7.07
KEPULAUAN RIAU,10.12,9.99,9.81,9.79,9.67,9.65,9.64,9.63,9.58,9.46,9.38
DKI JAKARTA,11.13,11.06,11.05,11.02,10.88,10.7,10.54,10.47,10.43,10.4,10.37
JAWA BARAT,8.55,8.37,8.15,8.14,7.95,7.86,7.71,7.58,7.52,7.46,7.4
JAWA TENGAH,7.69,7.53,7.35,7.27,7.15,7.03,6.93,6.8,6.77,6.74,6.71
D I YOGYAKARTA,9.55,9.38,9.32,9.19,9.12,9,8.84,8.72,8.63,8.53,8.51
JAWA TIMUR,7.78,7.59,7.39,7.34,7.23,7.14,7.05,6.9,6.85,6.79,6.73
BANTEN,8.89,8.74,8.62,8.53,8.37,8.27,8.19,8.17,8.06,7.95,7.92
BALI,8.95,8.84,8.65,8.55,8.36,8.26,8.11,8.1,8.05,7.77,7.74
NUSA TENGGARA BARAT,7.31,7.27,7.03,6.9,6.79,6.71,6.67,6.54,6.33,6.07,5.73
NUSA TENGGARA TIMUR,7.63,7.55,7.3,7.15,7.02,6.93,6.85,6.76,6.71,6.6,6.5
KALIMANTAN BARAT,7.37,7.31,7.12,7.05,6.98,6.93,6.83,6.69,6.62,6.32,6.27
KALIMANTAN TENGAH,8.59,8.51,8.37,8.29,8.13,8.03,7.82,7.79,7.73,7.68,7.62
KALIMANTAN SELATAN,8.29,8.2,8,7.99,7.89,7.76,7.6,7.59,7.48,7.37,7.25
KALIMANTAN TIMUR,9.77,9.7,9.48,9.36,9.24,9.15,9.04,8.87,8.83,8.79,8.56
KALIMANTAN UTARA,9,8.94,8.87,8.62,8.49,8.36,8.35,8.1,,,
SULAWESI UTARA,9.49,9.43,9.24,9.14,8.96,8.88,8.86,8.79,8.71,8.68,8.66
SULAWESI TENGAH,8.83,8.75,8.52,8.29,8.12,7.97,7.89,7.82,7.73,7.69,7.65
SULAWESI SELATAN,8.38,8.26,8.02,7.95,7.75,7.64,7.49,7.45,7.37,7.33,7.29
SULAWESI TENGGARA,9.04,8.91,8.69,8.46,8.32,8.18,8.02,7.93,7.76,7.67,7.57
GORONTALO,7.82,7.69,7.46,7.28,7.12,7.05,6.97,6.96,6.92,6.89,6.85
SULAWESI BARAT,7.89,7.73,7.5,7.31,7.14,6.94,6.88,6.87,6.76,6.65,6.63
MALUKU,9.93,9.81,9.58,9.38,9.27,9.16,9.15,8.81,8.8,8.72,8.64
MALUKU UTARA,9.04,9,8.72,8.61,8.52,8.37,8.34,8.27,8.04,7.98,7.91
PAPUA BARAT,7.6,7.44,7.27,7.15,7.06,7.01,6.96,6.91,6.87,6.82,6.77
PAPUA,6.69,6.65,6.52,6.27,6.15,5.99,5.76,5.74,5.73,5.6,5.59
